,Adaptive-Threshold,Precision,Recall,F1-score
0,0.3473142157974078,0.9999999984375001,0.9846153831005918,0.9922480104801419
1,0.3777345583133709,0.9431818171100207,0.9764705870865052,0.9595375211600815
2,0.41440783853509455,0.959016392656544,0.9999999991452992,0.9790794471105224
3,0.36614528637327093,0.9210526309729917,0.9999999992857144,0.9589040590167037
4,0.3660168000197347,0.8961748628982651,0.999999999390244,0.9452449063774329
5,0.3723850335334084,0.8565022417683846,0.9999999994764398,0.9227052638626365
6,0.38043127478632205,0.8383458643464864,0.9999999995515695,0.9120653896863957
7,0.36492339600019374,0.880794701695101,0.99999999962406,0.936619668180919
8,0.46956888475441944,0.8119122254508112,0.9999999996138995,0.8961937218549852
9,0.4879665856933456,0.810734463047815,0.9999999996515678,0.8954757692996296
10,0.4011913764784076,0.7648578809393132,0.9999999996621621,0.8667642258900022
11,0.47864381817043083,0.7635933804341386,0.9999999996904024,0.8659516932936366
12,0.4948862002282653,0.7446808508877822,0.9936908514215486,0.8513513021471905
13,0.4658677305523876,0.7604166665082465,0.9999999997260274,0.8639052761654031
14,0.49231282807349686,0.7650375938411584,0.9999999997542997,0.8668796099133428
15,0.4306672893557644,0.7452006979502268,0.9999999997658079,0.8539999508950027
16,0.4373503199736375,0.7504132230164606,0.9999999997797356,0.8574126043012794
17,0.38777616343313387,0.747619047500378,0.9999999997876857,0.8555857819500259
18,0.3923311589691773,0.7296072506450745,0.9999999997929606,0.8436680733453624
19,0.3799149615116001,0.7163531113290372,0.9999999997979797,0.8347385684254781
20,0.436668076239703,0.7450980391113309,0.9999999998120301,0.8539325351993824
21,0.4312724632430681,0.7106325705638449,0.9999999998106062,0.8308418081056532
22,0.432505028837786,0.7428940567515641,0.999999999826087,0.8524832719401764
23,0.4369704508016176,0.7431761785678441,0.9999999998330551,0.8526689901098545
24,0.47814478674285665,0.7141190197533117,0.9999999998366014,0.833219828745008
25,0.477019405394644,0.7254004575829062,0.9999999998422714,0.8408487575209873
26,0.4643641805715249,0.7288888888079013,0.999999999847561,0.84318761178951
27,0.4384975764823823,0.7264770239905386,0.9999999998493977,0.8415715607807636
28,0.4001029050108401,0.7384453780736927,0.9999999998577526,0.8495467788237083
29,0.49310638785552446,0.7306910568363119,0.999999999860918,0.8443922000839279
30,0.4428554870617374,0.7422577421835906,0.9999999998654105,0.8520641711800249
31,0.4400331305158659,0.7373929590164231,0.9999999998709678,0.8488498962848334
32,0.4394116307705667,0.7493163171604998,0.9999999998783455,0.8566961468728992
33,0.46443913212568283,0.7323452484104319,0.9999999998809525,0.8454956733027413
34,0.4827555794342772,0.7257785466500191,0.9999999998808106,0.841102708070329
35,0.4345016971255005,0.71729957799854,0.999999999882353,0.8353807866537103
36,0.4639654056154978,0.7351973683605922,0.9999999998881433,0.8473933160130304
37,0.48213154911797373,0.7115384614814472,0.9999999998873874,0.8314606254997291
38,0.463964820775388,0.7188473519689371,0.9999999998916577,0.8364294936271713
39,0.46438876238499727,0.7250755286461423,0.9999999998958333,0.8406304240509658
40,0.49514616934785566,0.7049666419047467,0.9989495797270012,0.826597083098427
41,0.2717885633560832,0.6852387843208944,0.9999999998944035,0.813224511571373
42,0.47636350181175696,0.689293211988153,0.9999999998984772,0.8160728596603039
43,0.45942244964611295,0.7075342465268811,0.9999999999031945,0.8287203685684242
44,0.3832511434357427,0.6931359353503946,0.9999999999029126,0.8187598879843119
45,0.4593800127704972,0.7047244094025771,0.99999999990689,0.826789789773625
46,0.4349732317080345,0.7095329494107784,0.9999999999098286,0.8300897717406253
47,0.38659238258477197,0.695679398829325,0.9999999999099909,0.8205317093046453
48,0.43390818248762536,0.685837971509843,0.9990990990090901,0.8133479531354509
49,0.48810445612498726,0.6801938218849065,0.9999999999109528,0.8096610909023149
50,0.31086735678690713,0.6796002351158377,0.9999999999134948,0.8092404137859144
51,0.45461502632979667,0.6825214899322337,0.9999999999160368,0.8113078536323288
52,0.4288388769538915,0.6889387983891668,0.9999999999185003,0.8158244197268969
53,0.45443320795328956,0.6815920397633172,0.999999999918897,0.8106508393133245
54,0.4590678817700112,0.6801948051579981,0.9999999999204454,0.8096617875080737
55,0.46111152562375424,0.6827330508112959,0.9999999999224204,0.8114573014273119
56,0.48957206918801366,0.6756337299184876,0.9999999999234302,0.8064216869272625
57,0.49655162039883416,0.6826196473207748,0.9999999999261993,0.8113771972393267
58,0.4893038129092638,0.6942800788612288,0.9999999999289773,0.8195575767257893
59,0.47457248025234683,0.6885964911945129,0.9999999999292285,0.8155843672377983
60,0.4777611528652843,0.6820164808200672,0.9999999999289267,0.8109509603857714
61,0.4334957121184966,0.6680952380634241,0.9999999999287241,0.8010276424847244
62,0.4634459267234409,0.6824355971577314,0.9999999999313658,0.8112471677718486
63,0.4623071486809707,0.6732627703325696,0.9999999999316472,0.8047304249095524
64,0.49082504658187454,0.677727272696467,0.9999999999329309,0.8079110869948466
65,0.43430305808510483,0.6877807726555355,0.9999999999346831,0.8150119293093804
66,0.48895140543185966,0.6845369959820764,0.9993531694049577,0.8125163860988306
67,0.4794198794227887,0.6685664182083049,0.9999999999344262,0.8013662157246697
68,0.43215867499552196,0.6735661922952322,0.9999999999359794,0.8049471304230279
69,0.3838290130707248,0.6663840610145663,0.9999999999363867,0.7997964414062733
70,0.4292655667288331,0.6795302013137782,0.9999999999382716,0.8091907609708002
71,0.4755284315566134,0.6623860811656013,0.9999999999374609,0.7969099943848855
72,0.3834788495760481,0.6600741656093913,0.9999999999375779,0.7952345015729807
73,0.4297436482654302,0.6553139105188628,0.9999999999373825,0.7917699075080118
74,0.4763613604270656,0.6659959758283301,0.999999999939577,0.7995168601836128
75,0.4565177796766509,0.6560888536034872,0.9999999999395405,0.7923352814595948
76,0.45526286521712883,0.6639439906392866,0.9999999999414176,0.7980364176403061
77,0.3815620384611769,0.6717791410785361,0.9999999999429223,0.8036696766610584
78,0.43027667264424185,0.6567557395311722,0.9999999999426934,0.7928213969079487
79,0.38588734993899126,0.6545723805755435,0.9999999999434389,0.7912284148872141
80,0.460956253838316,0.657258064492036,0.9999999999442275,0.793187300035361
81,0.4962570626456945,0.6453720507932714,0.999999999943757,0.7844693985708773
82,0.476543252937521,0.6594151212318325,0.9999999999459167,0.7947560234239114
83,0.4773266441359194,0.6532540237700052,0.9999999999464381,0.7902645024305507
84,0.38542116370134233,0.6522938944238602,0.9999999999471179,0.789561538820083
85,0.430872203503758,0.6582104902071234,0.9999999999479167,0.7938804565363438
86,0.47678173309242977,0.6637228260644116,0.9999999999488229,0.7978766363710785
87,0.47621697076855013,0.6627634660199812,0.9999999999495204,0.7971830506162071
88,0.47548595193979876,0.6397618259794985,0.9999999999482937,0.7803106241589743
89,0.42983935225410125,0.6547423695223256,0.9999999999498747,0.7913525899874247
90,0.4582384089299304,0.6461988303883627,0.9999999999497234,0.7850798812305894
91,0.4950093963795652,0.6435897435691157,0.9995022398706072,0.7829985875270383
92,0.38387392895159667,0.6429246769416034,0.9999999999509803,0.7826586901027941
93,0.48777241865779475,0.6615672806537132,0.9995283018396449,0.7961675267157547
94,0.4606670164890723,0.6505243676542096,0.9995260663033401,0.7881165441356207
95,0.38378572010009243,0.6370844769552582,0.9999999999521303,0.7783158987769287
96,0.4594640611025377,0.6366384522177558,0.9999999999525166,0.7779829594546807
97,0.47804161308676946,0.6433045034105784,0.9999999999536394,0.7829400612202558
98,0.43095678705267526,0.6505598114127709,0.9999999999547102,0.7882898486784663
